sequence,timestamp,lidar_min,lidar_max,lidar_mean,lidar_std,pose_min,pose_max,pose_mean,pose_std,imu_min,imu_max,imu_mean,imu_std,target_min,target_max,target_mean,target_std
28,1732072349501,-1.5474233627319336,2.0566463470458984,0.4968346655368805,0.9900824427604675,-0.9781429171562195,1.8127117156982422,0.22269713878631592,1.4355522394180298,-0.6835684180259705,0.7856603860855103,-0.10061562061309814,0.7801679968833923,-0.255553662776947,0.2830638885498047,0.013755112886428833,0.3808601200580597
29,1732072349548,-1.3721098899841309,2.1012775897979736,0.5087761282920837,0.9929003119468689,-1.0337368249893188,1.8329381942749023,0.2231748104095459,1.465549349784851,-0.5309019684791565,0.6628867983818054,-0.07762199640274048,0.6466515064239502,-0.27520766854286194,0.2632523477077484,-0.005977660417556763,0.3807487189769745
30,1732072349601,-1.0879799127578735,1.5275282859802246,0.35905784368515015,0.7013933658599854,-0.6293191313743591,1.1104674339294434,0.13297705352306366,0.8896324038505554,-0.2537638545036316,0.14036597311496735,-0.11058004200458527,0.21804608404636383,-0.16933108866214752,0.17900915443897247,0.004839032888412476,0.24631375074386597
31,1732072349647,-1.0010312795639038,1.0386593341827393,0.24814513325691223,0.5008531808853149,-0.5315874218940735,0.9047674536705017,0.09698908030986786,0.7347542643547058,-0.4120717942714691,0.23600196838378906,-0.12434868514537811,0.33008477091789246,-0.14041128754615784,0.13963502645492554,-0.0003881305456161499,0.19802264869213104
32,1732072349699,-0.8164698481559753,0.6362102627754211,0.1530597060918808,0.3083522617816925,-0.30104345083236694,0.5136674046516418,0.053307853639125824,0.4175724685192108,-0.12078391015529633,-0.06010926142334938,-0.09189055860042572,0.03044024296104908,-0.07929666340351105,0.08376247435808182,0.002232905477285385,0.11530023068189621
33,1732072349746,-0.7196828126907349,0.6410502195358276,0.03732382133603096,0.25567156076431274,-0.13507267832756042,0.09984302520751953,0.021019985899329185,0.1351824551820755,-1.184945821762085,0.45489028096199036,-0.16666540503501892,0.888992965221405,-0.1438465416431427,0.024082742631435394,-0.05988189950585365,0.11874394118785858
34,1732072349800,-5.744171619415283,5.744467258453369,-0.16010354459285736,1.000706672668457,-0.542095959186554,0.30591505765914917,-0.06952756643295288,0.4322681128978729,-0.9262875914573669,1.094019889831543,0.3342345654964447,1.0993014574050903,-0.5224753022193909,0.08657366037368774,-0.21795082092285156,0.4306626319885254
35,1732072349850,-4.063076972961426,4.061987400054932,-0.036218948662281036,0.9392306208610535,-0.43509840965270996,0.25056615471839905,-0.05118877813220024,0.3501371443271637,-0.5108726024627686,0.9071817398071289,0.2926642894744873,0.7276783585548401,-0.5673470497131348,0.07022738456726074,-0.248559832572937,0.45083320140838623
36,1732072349902,-3.316389322280884,5.915834426879883,0.03202451765537262,0.7664563059806824,-0.17485354840755463,0.37238264083862305,0.05775412172079086,0.28268787264823914,-1.0219906568527222,1.4006491899490356,0.3639112710952759,1.2484921216964722,-0.42867159843444824,-0.05502689257264137,-0.24184924364089966,0.2642067074775696
37,1732072349950,-2.872011423110962,2.8722715377807617,0.20123596489429474,0.6211150884628296,-0.27981552481651306,0.5326668620109558,0.06773132085800171,0.41876840591430664,-0.21058201789855957,0.4603971242904663,0.134938046336174,0.33593910932540894,-0.27022096514701843,-0.08141159266233444,-0.17581628262996674,0.13350838422775269
