sequence,timestamp,lidar_min,lidar_max,lidar_mean,lidar_std,pose_min,pose_max,pose_mean,pose_std,imu_min,imu_max,imu_mean,imu_std,target_min,target_max,target_mean,target_std
14,1732383565975,2.986,12.0,7.619,3.173,-0.318,1.156,0.28,0.775,-1.371,0.001,-0.457,0.792,-2.505,11.701,4.598,10.045
15,1732383566024,2.991,12.0,7.634,3.173,-0.319,1.162,0.282,0.779,-1.368,-0.0,-0.456,0.79,-2.508,11.696,4.594,10.044
16,1732383566073,2.999,12.0,7.636,3.173,-0.321,1.171,0.284,0.785,-1.367,0.0,-0.456,0.789,-2.509,11.688,4.59,10.039
17,1732383566131,3.011,12.0,7.674,3.179,-0.323,1.183,0.287,0.793,-1.363,0.0,-0.455,0.787,-2.512,11.679,4.584,10.034
18,1732383566181,3.015,12.0,7.64,3.172,-0.324,1.188,0.288,0.796,-1.36,0.001,-0.454,0.785,-2.515,11.674,4.58,10.033
19,1732383566226,3.025,12.0,7.64,3.164,-0.326,1.195,0.29,0.801,-1.353,-0.0,-0.451,0.781,-2.521,11.668,4.574,10.034
20,1732383566280,3.028,12.0,7.622,3.17,-0.325,1.197,0.291,0.801,-1.345,0.001,-0.448,0.776,-2.529,11.668,4.57,10.039
21,1732383566332,3.022,12.0,7.64,3.169,-0.323,1.191,0.29,0.797,-1.338,-0.0,-0.446,0.772,-2.537,11.673,4.568,10.048
22,1732383566381,3.022,12.0,7.68,3.175,-0.323,1.189,0.289,0.796,-1.332,-0.0,-0.444,0.769,-2.543,11.675,4.566,10.053
23,1732383566431,3.015,12.0,7.629,3.164,-0.321,1.183,0.288,0.792,-1.322,-0.0,-0.441,0.763,-2.553,11.681,4.564,10.064
24,1732383566480,3.004,12.0,7.654,3.179,-0.317,1.17,0.285,0.783,-1.314,-0.0,-0.438,0.758,-2.562,11.692,4.565,10.079
25,1732383566529,2.989,12.0,7.667,3.187,-0.312,1.154,0.281,0.772,-1.308,0.0,-0.436,0.755,-2.568,11.706,4.569,10.093
26,1732383566581,2.975,12.0,7.632,3.171,-0.307,1.138,0.278,0.761,-1.3,0.0,-0.433,0.75,-2.577,11.721,4.572,10.11
27,1732383566635,2.962,12.0,7.636,3.191,-0.304,1.127,0.275,0.754,-1.291,0.0,-0.43,0.745,-2.587,11.731,4.572,10.124
28,1732383566683,2.96,12.0,7.655,3.188,-0.305,1.127,0.275,0.754,-1.287,0.001,-0.429,0.743,-2.59,11.73,4.57,10.126
29,1732383566733,2.968,12.0,7.615,3.18,-0.306,1.134,0.277,0.759,-1.281,-0.001,-0.428,0.739,-2.596,11.724,4.564,10.126
30,1732383566785,2.97,12.0,7.653,3.183,-0.306,1.137,0.278,0.76,-1.269,0.0,-0.423,0.733,-2.608,11.722,4.557,10.133
31,1732383566837,2.979,12.0,7.644,3.187,-0.307,1.146,0.28,0.765,-1.254,0.0,-0.418,0.724,-2.623,11.716,4.547,10.139
32,1732383566884,2.983,12.0,7.626,3.18,-0.308,1.148,0.28,0.767,-1.243,0.0,-0.415,0.718,-2.633,11.713,4.54,10.144
33,1732383566934,2.994,12.0,7.622,3.179,-0.313,1.16,0.283,0.776,-1.235,0.0,-0.411,0.713,-2.641,11.702,4.53,10.142
34,1732383566985,3.01,12.0,7.652,3.182,-0.318,1.176,0.286,0.787,-1.222,-0.0,-0.408,0.705,-2.653,11.687,4.517,10.14
35,1732383567033,3.024,12.0,7.629,3.168,-0.322,1.188,0.289,0.795,-1.209,-0.0,-0.404,0.697,-2.665,11.676,4.505,10.141
36,1732383567083,3.03,12.0,7.651,3.17,-0.323,1.192,0.29,0.798,-1.201,0.0,-0.4,0.694,-2.673,11.672,4.5,10.144
37,1732383567133,3.044,12.0,7.657,3.175,-0.329,1.207,0.293,0.809,-1.198,-0.0,-0.4,0.691,-2.676,11.658,4.491,10.136
38,1732383567179,3.056,12.0,7.653,3.164,-0.334,1.219,0.295,0.817,-1.196,-0.0,-0.399,0.69,-2.677,11.647,4.485,10.129
39,1732383567229,3.063,12.0,7.643,3.166,-0.336,1.224,0.296,0.821,-1.192,0.001,-0.397,0.689,-2.681,11.642,4.48,10.128
40,1732383567288,3.076,12.0,7.639,3.162,-0.341,1.238,0.299,0.83,-1.19,-0.001,-0.397,0.686,-2.683,11.629,4.473,10.12
41,1732383567331,3.08,12.0,7.646,3.157,-0.343,1.241,0.3,0.833,-1.184,0.001,-0.394,0.684,-2.688,11.625,4.468,10.121
42,1732383567388,3.091,12.0,7.655,3.155,-0.347,1.251,0.302,0.84,-1.176,-0.001,-0.393,0.678,-2.696,11.615,4.46,10.119
43,1732383567437,3.091,12.0,7.656,3.157,-0.346,1.248,0.302,0.838,-1.17,-0.001,-0.391,0.675,-2.702,11.618,4.458,10.126
44,1732383567485,3.078,12.0,7.631,3.153,-0.34,1.234,0.299,0.828,-1.169,0.001,-0.39,0.675,-2.703,11.632,4.464,10.137
45,1732383567537,3.066,12.0,7.65,3.162,-0.336,1.226,0.297,0.822,-1.173,0.001,-0.391,0.677,-2.7,11.641,4.47,10.14
46,1732383567588,3.061,12.0,7.624,3.148,-0.333,1.22,0.296,0.818,-1.181,-0.0,-0.395,0.681,-2.692,11.646,4.477,10.139
47,1732383567636,3.054,12.0,7.647,3.159,-0.331,1.215,0.295,0.814,-1.189,0.001,-0.396,0.686,-2.685,11.651,4.483,10.137
48,1732383567687,3.059,12.0,7.642,3.168,-0.334,1.224,0.297,0.82,-1.192,0.0,-0.397,0.689,-2.68,11.643,4.482,10.128
49,1732383567738,3.073,12.0,7.618,3.159,-0.34,1.24,0.301,0.831,-1.199,-0.0,-0.4,0.692,-2.673,11.629,4.478,10.113
50,1732383567781,3.085,12.0,7.634,3.157,-0.343,1.247,0.302,0.836,-1.201,-0.0,-0.401,0.693,-2.671,11.621,4.475,10.106
51,1732383567841,3.086,12.0,7.632,3.152,-0.343,1.247,0.302,0.836,-1.197,-0.0,-0.4,0.691,-2.674,11.621,4.473,10.109
52,1732383567889,3.079,12.0,7.636,3.162,-0.34,1.238,0.3,0.83,-1.191,-0.0,-0.398,0.687,-2.682,11.63,4.474,10.12
53,1732383567940,3.068,12.0,7.645,3.159,-0.335,1.228,0.298,0.822,-1.188,0.001,-0.395,0.686,-2.685,11.64,4.477,10.129
54,1732383567988,3.067,12.0,7.656,3.164,-0.335,1.228,0.298,0.823,-1.185,0.001,-0.395,0.685,-2.687,11.639,4.476,10.13
55,1732383568040,3.078,12.0,7.625,3.149,-0.34,1.24,0.301,0.831,-1.18,0.001,-0.393,0.682,-2.692,11.628,4.468,10.126
